co_municipio,no_municipio,cluster,nome_cluster
1100098,Espigão D'Oeste,1,alto desempenho urbano médio
1100338,Nova Mamoré,2,baixo desempenho rural pequeno
1100288,Rolim de Moura,1,alto desempenho urbano médio
1100403,Alto Paraíso,2,baixo desempenho rural pequeno
1100262,Rio Crespo,0,alto desempenho urbano pequeno
1100296,Santa Luzia D'Oeste,0,alto desempenho urbano pequeno
1100148,Nova Brasilândia D'Oeste,0,alto desempenho urbano pequeno
1100601,Cacaulândia,0,alto desempenho urbano pequeno
1100908,Castanheiras,0,alto desempenho urbano pequeno
1100502,Novo Horizonte do Oeste,0,alto desempenho urbano pequeno
1100346,Alvorada D'Oeste,2,baixo desempenho rural pequeno
1101757,Vale do Anari,2,baixo desempenho rural pequeno
1100106,Guajará-Mirim,1,alto desempenho urbano médio
1100809,Candeias do Jamari,2,baixo desempenho rural pequeno
1100452,Buritis,2,baixo desempenho rural pequeno
1100130,Machadinho D'Oeste,2,baixo desempenho rural pequeno
1101609,Theobroma,2,baixo desempenho rural pequeno
1101484,São Felipe D'Oeste,0,alto desempenho urbano pequeno
1101468,Pimenteiras do Oeste,0,alto desempenho urbano pequeno
1101807,Vale do Paraíso,0,alto desempenho urbano pequeno
1100072,Corumbiara,0,alto desempenho urbano pequeno
1100056,Cerejeiras,0,alto desempenho urbano pequeno
1100700,Campo Novo de Rondônia,2,baixo desempenho rural pequeno
1101302,Mirante da Serra,0,alto desempenho urbano pequeno
1101450,Parecis,0,alto desempenho urbano pequeno
1101435,Nova União,2,baixo desempenho rural pequeno
1100254,Presidente Médici,0,alto desempenho urbano pequeno
1100023,Ariquemes,1,alto desempenho urbano médio
1100064,Colorado do Oeste,0,alto desempenho urbano pequeno
1100049,Cacoal,1,alto desempenho urbano médio
1101500,Seringueiras,2,baixo desempenho rural pequeno
1100114,Jaru,1,alto desempenho urbano médio
1100205,Porto Velho,1,alto desempenho urbano médio
1100015,Alta Floresta D'Oeste,2,baixo desempenho rural pequeno
1101005,Governador Jorge Teixeira,2,baixo desempenho rural pequeno
1100304,Vilhena,1,alto desempenho urbano médio
1101492,São Francisco do Guaporé,2,baixo desempenho rural pequeno
1100320,São Miguel do Guaporé,2,baixo desempenho rural pequeno
1100031,Cabixi,0,alto desempenho urbano pequeno
1100379,Alto Alegre dos Parecis,2,baixo desempenho rural pequeno
1100189,Pimenta Bueno,1,alto desempenho urbano médio
1101708,Urupá,2,baixo desempenho rural pequeno
1101559,Teixeirópolis,0,alto desempenho urbano pequeno
1100155,Ouro Preto do Oeste,1,alto desempenho urbano médio
1101401,Monte Negro,2,baixo desempenho rural pequeno
1101203,Ministro Andreazza,0,alto desempenho urbano pequeno
1100940,Cujubim,2,baixo desempenho rural pequeno
1100080,Costa Marques,2,baixo desempenho rural pequeno
1100924,Chupinguaia,0,alto desempenho urbano pequeno
1100122,Ji-Paraná,1,alto desempenho urbano médio
1101476,Primavera de Rondônia,0,alto desempenho urbano pequeno
1101104,Itapuã do Oeste,0,alto desempenho urbano pequeno
1200393,Porto Walter,2,baixo desempenho rural pequeno
1200708,Xapuri,2,baixo desempenho rural pequeno
1200104,Brasiléia,2,baixo desempenho rural pequeno
