co_municipio,sg_uf,n_alunos,taxa_observada,taxa_prevista,erro
1100015,RO,15,0.8,0.6539146134873131,-0.146085386512687
1100023,RO,55,0.7090909090909091,0.7099246790344961,0.0008337699435869705
1100031,RO,1,1.0,0.7332349466303427,-0.2667650533696573
1100049,RO,43,0.9069767441860465,0.6840513719994443,-0.22292537218660213
1100056,RO,16,0.8125,0.7444383957092527,-0.06806160429074726
1100064,RO,5,0.8,0.6550221536955865,-0.14497784630441357
1100072,RO,9,1.0,0.7766475301425003,-0.22335246985749968
1100080,RO,9,0.6666666666666666,0.628741169162743,-0.0379254975039236
1100098,RO,11,0.8181818181818182,0.6685279656238042,-0.149653852558014
1100106,RO,20,0.55,0.45327511651853536,-0.09672488348146469
1100114,RO,21,0.8571428571428571,0.7293560960466179,-0.1277867610962392
1100122,RO,71,0.704225352112676,0.6053769218059453,-0.09884843030673074
1100130,RO,16,0.5,0.6446526535720206,0.14465265357202062
1100148,RO,7,1.0,0.7186896876247925,-0.28131031237520754
1100155,RO,24,0.7083333333333334,0.7131437980058104,0.004810464672477033
1100189,RO,19,0.5789473684210527,0.7600412706813195,0.1810939022602669
1100205,RO,231,0.6190476190476191,0.4628778696483842,-0.1561697493992349
1100254,RO,5,0.8,0.686763892357872,-0.11323610764212799
1100262,RO,1,1.0,0.7637705623402663,-0.2362294376597337
1100288,RO,36,0.7777777777777778,0.7018541840584125,-0.0759235937193653
1100296,RO,3,0.6666666666666666,0.733548502488257,0.06688183582159035
1100304,RO,55,0.8545454545454545,0.6526868245311096,-0.2018586300143449
1100320,RO,7,0.7142857142857143,0.6963741989911145,-0.017911515294599778
1100338,RO,10,0.8,0.6282663355248114,-0.17173366447518867
1100346,RO,7,0.5714285714285714,0.6792218609043689,0.10779328947579747
1100379,RO,5,1.0,0.7550677054437059,-0.24493229455629406
1100403,RO,8,0.875,0.7002976438841595,-0.1747023561158405
1100452,RO,18,0.7777777777777778,0.593860484738518,-0.18391729303925974
1100502,RO,5,1.0,0.6877585590057198,-0.3122414409942802
1100601,RO,3,1.0,0.7965973413610922,-0.20340265863890783
1100700,RO,13,0.9230769230769231,0.7048221136333657,-0.21825480944355746
1100809,RO,22,0.6363636363636364,0.5397891386196203,-0.09657449774401605
1100908,RO,2,0.5,0.706711803288588,0.20671180328858796
1100924,RO,9,1.0,0.6738294059607318,-0.3261705940392682
1100940,RO,4,0.75,0.7423359247690561,-0.007664075230943923
1101005,RO,7,1.0,0.7716772346437362,-0.22832276535626383
1101104,RO,11,0.9090909090909091,0.7048208154005637,-0.20427009369034532
1101203,RO,5,0.8,0.7527060667567044,-0.04729393324329567
1101302,RO,10,0.9,0.7594412516477312,-0.14055874835226878
1101401,RO,4,1.0,0.7323117962136428,-0.26768820378635716
1101435,RO,4,0.5,0.7624117488878459,0.2624117488878459
1101450,RO,1,1.0,0.7648284672388691,-0.2351715327611309
1101468,RO,2,1.0,0.7168363917435002,-0.2831636082564998
1101476,RO,2,1.0,0.7528167860350805,-0.2471832139649195
1101484,RO,3,0.6666666666666666,0.6214602848954316,-0.04520638177123504
1101492,RO,16,0.75,0.7137219088799821,-0.0362780911200179
1101500,RO,4,0.75,0.6965755723068413,-0.053424427693158694
1101559,RO,3,1.0,0.7573674926428069,-0.2426325073571931
1101609,RO,2,1.0,0.6685624409291958,-0.3314375590708042
1101708,RO,3,0.6666666666666666,0.7049937049802835,0.038327038313616835
1101757,RO,2,0.5,0.6062675951750904,0.10626759517509043
1101807,RO,4,0.75,0.686733617082188,-0.06326638291781195
1200013,AC,5,0.6,0.5188084525191442,-0.08119154748085577
1200054,AC,2,0.0,0.4616608677137802,0.4616608677137802
1200104,AC,18,0.7777777777777778,0.4600117743070942,-0.31776600347068357
1200138,AC,9,0.2222222222222222,0.3262780220373874,0.10405579981516522
1200179,AC,10,0.4,0.42927195217612485,0.029271952176124827
1200203,AC,43,0.7209302325581395,0.48865398763803536,-0.23227624492010412
1200252,AC,16,0.8125,0.47545747848991976,-0.33704252151008024
1200302,AC,19,0.8421052631578947,0.578641674538597,-0.26346358861929764
1200328,AC,5,1.0,0.42948516038864276,-0.5705148396113573
1200336,AC,13,0.46153846153846156,0.44905794971237173,-0.012480511826089835
1200344,AC,7,0.8571428571428571,0.47781523568746387,-0.3793276214553932
1200351,AC,7,0.8571428571428571,0.5438422643425828,-0.31330059280027434
1200385,AC,15,0.6,0.4150541184721056,-0.18494588152789437
1200393,AC,10,0.4,0.49285903426635447,0.09285903426635445
1200401,AC,191,0.6910994764397905,0.5337154577945287,-0.15738401864526186
1200427,AC,7,0.7142857142857143,0.4514410183155172,-0.2628446959701971
1200435,AC,7,0.8571428571428571,0.41526749811870517,-0.4418753590241519
1200450,AC,10,0.7,0.39699147882494634,-0.3030085211750536
1200500,AC,22,0.8181818181818182,0.5971368362517929,-0.2210449819300253
1200609,AC,23,0.6956521739130435,0.4747310186895546,-0.22092115522348887
1200708,AC,11,0.36363636363636365,0.5068618426007071,0.14322547896434346
1200807,AC,8,0.5,0.40665843153488523,-0.09334156846511477
1300029,AM,7,0.5714285714285714,0.5004469506528267,-0.07098162077574466
1300060,AM,11,0.7272727272727273,0.6083366782009215,-0.11893604907180577
1300086,AM,2,1.0,0.4336280326906354,-0.5663719673093646
1300102,AM,6,0.8333333333333334,0.6512598089007433,-0.18207352443259006
1300144,AM,8,0.5,0.47918161067495557,-0.02081838932504443
1300201,AM,6,0.6666666666666666,0.5335534281551418,-0.1331132385115248
1300300,AM,18,0.6111111111111112,0.3280018570183909,-0.28310925409272025
1300409,AM,13,0.6153846153846154,0.46364724170198396,-0.15173737368263146
1300508,AM,22,0.36363636363636365,0.28311749893462285,-0.0805188647017408
1300607,AM,23,0.5217391304347826,0.4672448882449056,-0.054494242189876974
1300631,AM,11,0.8181818181818182,0.5349393347519958,-0.2832424834298224
1300680,AM,13,0.38461538461538464,0.31536978350239697,-0.06924560111298766
1300706,AM,19,0.5789473684210527,0.3979637072776206,-0.18098366114343206
1300805,AM,16,0.3125,0.2681102995817091,-0.04438970041829088
1300839,AM,8,0.5,0.3341354341608476,-0.16586456583915238
1300904,AM,10,0.7,0.5208953976135702,-0.17910460238642978
1301001,AM,12,0.5833333333333334,0.4396820826272352,-0.1436512507060982
1301100,AM,14,0.2857142857142857,0.3215343913214474,0.0358201056071617
1301159,AM,4,0.75,0.3247223106337889,-0.4252776893662111
1301209,AM,40,0.45,0.3479523642828065,-0.1020476357171935
1301308,AM,13,0.3076923076923077,0.43948617624164166,0.13179386854933395
1301407,AM,23,0.34782608695652173,0.3207607601666963,-0.027065326789825428
1301506,AM,5,0.6,0.5563262231100401,-0.04367377688995988
1301605,AM,19,0.631578947368421,0.39499717906135406,-0.23658176830706695
1301654,AM,8,0.375,0.45516982448943494,0.08016982448943494
1301704,AM,35,0.6,0.4743005876328577,-0.12569941236714227
1301803,AM,9,0.6666666666666666,0.5139328101889253,-0.1527338564777413
1301852,AM,29,0.41379310344827586,0.33432725518613726,-0.0794658482621386
1301902,AM,67,0.5223880597014925,0.4256315376867484,-0.0967565220147441
1301951,AM,7,0.8571428571428571,0.7015540580727199,-0.15558879907013723
1302009,AM,5,0.6,0.30979213856071935,-0.2902078614392806
1302108,AM,6,1.0,0.7807074084024931,-0.21929259159750691
1302207,AM,8,0.625,0.4983187948028039,-0.1266812051971961
1302306,AM,10,0.5,0.3680256886413998,-0.13197431135860022
1302405,AM,25,0.68,0.48867458118599105,-0.191325418814009
1302504,AM,65,0.5384615384615384,0.3917049055046423,-0.14675663295689612
1302553,AM,7,0.42857142857142855,0.26728268871659416,-0.16128873985483438
1302603,AM,1001,0.5614385614385614,0.4168360533137023,-0.14460250812485909
1302702,AM,27,0.6296296296296297,0.4464030975475669,-0.18322653208206274
1302801,AM,4,0.25,0.36206459735311514,0.11206459735311514
1302900,AM,32,0.53125,0.3978161124131638,-0.13343388758683622
1303007,AM,6,1.0,0.46747306308130665,-0.5325269369186933
1303106,AM,18,0.6111111111111112,0.39191051077179306,-0.2192006003393181
1303205,AM,12,0.5833333333333334,0.5523428687324398,-0.030990464600893608
1303304,AM,12,0.5,0.511607388734868,0.011607388734867996
1303403,AM,60,0.6166666666666667,0.5247833713264058,-0.09188329534026085
1303502,AM,8,0.625,0.4249339907405403,-0.20006600925945972
1303536,AM,25,0.48,0.33154024904396423,-0.14845975095603575
1303569,AM,19,0.42105263157894735,0.4325087982682967,0.011456166689349345
1303601,AM,12,0.6666666666666666,0.3462275554719422,-0.3204391111947244
1303700,AM,23,0.782608695652174,0.44426747329958277,-0.3383412223525912
1303809,AM,29,0.4827586206896552,0.29247090889995664,-0.19028771178969855
1303908,AM,26,0.5,0.38897945604741035,-0.11102054395258965
1303957,AM,6,0.8333333333333334,0.4297380804748589,-0.4035952528584745
1304005,AM,9,0.6666666666666666,0.41262818798429163,-0.254038478682375
1304062,AM,54,0.6666666666666666,0.37545560703074804,-0.2912110596359186
1304104,AM,10,0.7,0.6085049718476503,-0.09149502815234967
1304203,AM,57,0.5789473684210527,0.3817137422232912,-0.19723362619776147
1304237,AM,18,0.6111111111111112,0.3806150580746315,-0.2304960530364797
