co_municipio,no_municipio,sg_uf,p_nao_atingir_2026,meta_2026,pc_2025,esforco_2026,atingiu_meta_2025
4310553,Itacurubi,RS,0.9988512814718851,80.0,20.59,59.41,0.0
4311775,Maquiné,RS,0.9980847043853792,71.0,11.11,59.89,0.0
4319208,São Nicolau,RS,0.9970185822919513,68.0,23.53,44.47,0.0
4314209,Pedro Osório,RS,0.9945156997900299,73.0,36.84,36.16,0.0
4305900,Coronel Bicaco,RS,0.9936706534422054,80.0,49.77,30.229999999999997,0.0
4305371,Charrua,RS,0.9936624035734046,68.0,11.76,56.24,0.0
4308409,Formigueiro,RS,0.9929272415068978,80.0,42.11,37.89,0.0
4304408,Canela,RS,0.9925159739197265,79.0,47.32,31.68,0.0
4319604,São Sepé,RS,0.9923696951759605,80.0,30.18,49.82,0.0
4310876,Jacuizinho,RS,0.9918617844855167,65.0,11.11,53.89,0.0
4313953,Pantano Grande,RS,0.991511422507066,76.0,54.92,21.08,0.0
4320354,Sentinela do Sul,RS,0.991445700299889,77.0,49.74,27.259999999999998,0.0
4300877,Araricá,RS,0.9914045329180879,78.0,61.71,16.29,0.0
4301073,Arroio do Padre,RS,0.99113923721939,80.0,57.84,22.159999999999997,0.0
4323002,Viamão,RS,0.9904715202638477,69.0,41.05,27.950000000000003,0.0
4311254,Lagoão,RS,0.9903665353094189,80.0,51.61,28.39,0.0
4312203,Maximiliano de Almeida,RS,0.9903486284022592,80.0,52.31,27.689999999999998,0.0
4301305,Arroio Grande,RS,0.9903063705763616,70.0,31.14,38.86,0.0
4309209,Gravataí,RS,0.9901504722875532,71.0,45.99,25.009999999999998,0.0
4311122,Jaquirana,RS,0.9901076200760153,74.0,65.35,8.650000000000006,0.0
4318705,São Leopoldo,RS,0.9894877973213937,68.0,40.39,27.61,0.0
4307401,Esmeralda,RS,0.989415065971625,80.0,35.56,44.44,0.0
4306700,Dona Francisca,RS,0.989167547126875,80.0,69.23,10.769999999999996,0.0
4313060,Nova Hartz,RS,0.9885581461818829,76.0,46.88,29.119999999999997,0.0
4302303,Bom Jesus,RS,0.9879069116081579,76.0,53.59,22.409999999999997,0.0
4319901,Sapiranga,RS,0.9877033908099504,76.0,57.76,18.240000000000002,0.0
4300604,Alvorada,RS,0.9876409766058516,63.0,40.52,22.479999999999997,0.0
4313409,Novo Hamburgo,RS,0.9873206483088529,71.0,46.83,24.17,0.0
3505401,Barra do Turvo,SP,0.9871802738830796,80.0,46.49,33.51,0.0
4305124,Cerrito,RS,0.9864213812682772,77.0,53.7,23.299999999999997,0.0
4301909,Barra do Ribeiro,RS,0.9862014682518646,74.0,37.81,36.19,0.0
4314902,Porto Alegre,RS,0.9860064660615263,59.0,26.74,32.260000000000005,0.0
4320453,Sério,RS,0.985782541916126,80.0,72.98,7.019999999999996,0.0
4304507,Canguçu,RS,0.9856937099353682,80.0,59.13,20.869999999999997,0.0
4320859,Tabaí,RS,0.9856547841759115,69.0,28.34,40.66,0.0
4321303,Taquari,RS,0.9854389336152917,64.0,39.33,24.67,0.0
2411502,Santo Antônio,RN,0.9853422067168068,73.0,45.75,27.25,0.0
4302154,Boa Vista das Missões,RS,0.9852368498796157,78.0,45.45,32.55,0.0
4319737,São Valério do Sul,RS,0.984977396931047,75.0,40.0,35.0,0.0
4309654,Hulha Negra,RS,0.9847675096464972,75.0,53.13,21.869999999999997,0.0
4303400,Caiçara,RS,0.9847059391664329,79.0,40.0,39.0,0.0
4304952,Caseiros,RS,0.9845628617013925,80.0,41.3,38.7,0.0
4310702,Itatiba do Sul,RS,0.9843532459928789,80.0,47.37,32.63,0.0
4303905,Campo Bom,RS,0.9836106103311396,79.0,63.2,15.799999999999997,0.0
4303103,Cachoeirinha,RS,0.9834293197207452,69.0,46.41,22.590000000000003,0.0
2412005,São Gonçalo do Amarante,RN,0.9832402656805915,66.0,37.44,28.560000000000002,0.0
4307500,Espumoso,RS,0.9829621507835711,80.0,50.11,29.89,0.0
4318309,São Gabriel,RS,0.9828965847507127,70.0,44.2,25.799999999999997,0.0
